設計IP,3035,3661,3443,6643,6533,3529,,,,,
MCU,4919,3228,6202,5471,4952,6494,,,,,
IC零組件通路,3232,3702,8112,3028,3033,,,,,,
LED,6288,2486,3714,2393,1611,,,,,,
MLCC,2327,2492,3026,3090,,,,,,,
面板,3481,2409,6116,,,,,,,,
面板設備,5443,2467,3455,8064,,,,,,,
LCD驅動IC,3545,3034,4961,6129,3141,,,,,,
LCM,3038,6167,8105,5315,,,,,,,
USB IC,6104,6233,4966,5269,,,,,,,
分離式元件,5425,2481,2302,3675,8255,8261,,,,,
太陽能,6443,6244,3576,5483,6477,3691,,,,,
電腦版卡,2376,2425,2331,2399,2377,,,,,,
砷化鎵,2455,3105,8086,3081,5222,,,,,,
記憶體,2337,2344,2408,,,,,,,,
矽晶圓,6182,6488,3707,3532,,,,,,,
石英元件,2484,3042,3221,8289,8182,6174
光學鏡頭,3362,3406,3504,6668,3059,6517,3008,3441,,,
感測元件,4974,6789,8249,,,,,,,,
CCL,2383,6213,6274,6672,,,,,,,
PCB,2368,5439,2313,3044,2328,3715,6191,4958,,,
PCB設備,6438,2467,2493,3455,3093,,,,,,
軟板材料,3354,3645,4939,8039,,,,,,,
安全監控,3454,3356,3128,2390,8072,,,,,,
電子支付,3687,5478,6763,,,,,,,,
資安,3029,6245,3564,3664,6416,6690,,,,,
背光板,8085,5371,6176,6120,4935,,,,,,
利基型記憶體,3006,5351,6531,,,,,,,,
記憶體模組,3260,8299,4967,8271,2451,,,,,,
軟板,2402,4958,6269,6153,,,,,,,
散熱,2321,3017,3324,3338,6124,3071,3653,,,,
被動元件,5328,2327,3207,2492,3624,3042,,,,,
無塵室工程,6139,5536,2404,6196,6691,6667,,,,,
無線網路,3380,6285,2332,4906,3558,6470,5388,3596,,,
電腦通路,6118,5386,6776,3213,,,,,,,
電聲,2439,3206,5457,6743,,,,,,,
遊戲,6111,6180,3293,3546,5478,5263,,,,,
模具沖壓,5284,5243,2476,1586,1569,,,,,,
投影機,3504,5371,6225,,,,,,,,
UPS,3043,3617,3628,6409,,,,,,,
天線,3419,3491,6284,3138,,,,,,,
機殼,6235,3013,3032,5465,3540,8210,3325,3693,3508,2354,
視訊,5474,2485,3466,6152,2417,,,,,,
類比IC,6415,6799,6719,6138,2436,6129,3438,6291,,,
變壓器,3207,6821,6109,3191,6292,,,,,,
觸控面板,3673,6456,3049,3622,4729,2429,,,,,
光纖,4979,3025,3363,3163,4977,3704,8048,4908,,,
電子驗證,3138,3289,3587,6146,6830,,,,,,
電子化工,1727,1785,1717,4755,5234,,,,,,
GPS,3306,3499,3632,,,,,,,,
電子商務,6741,5321,8044,8454,5287,,,,,,
車用電子,2497,1533,8255,3128,3552,,,,,,
樞紐,1582,3376,3548,4999,,,,,,,
航空,2610,2618,,,,,,,,,
貨櫃航,2603,2609,2615,,,,,,,,
散裝航,2637,2606,2605,5608,2601,2641,,,,,
物流,2607,5607,2608,2642,5603,,,,,,
旅行社,5706,2731,2734,2743,,,,,,,
飯店,2736,2748,2722,2705,2739,2707,5704,2704,,,
餐飲,2723,2727,2732,2754,2729,2753,1268,,,,
美妝,4137,6703,4190,6523,,,,,,,
百貨,2903,2912,5904,5903,,,,,,,
回收,9955,8422,8440,6581,8341,,,,,,
自行車,8163,9914,9921,8933,6804,,,,,,
運動,1598,1736,1515,8442,,,,,,,
高爾夫,6670,8420,8924,8928,8938,,,,,,
瓶罐,9939,9907,,,,,,,,,
文創,6625,8446,6101,6596,8450,,,,,,
中國能源車,6279,3526,3665,3003,,,,,,,
InP磊晶,3081,2455,3016,,,,,,,,
CPO 模組,6442,4979,4977,6530,3450,4908,,,,,
CPO封裝,3265,6257,6451,3450,,,,,,,
CPO測試界面,6223,6515,,,,,,,,,
CPO 交換器,3380,2345,,,,,,,,,
CPO 連接器,3363,3163,6442,,,,,,,,
導線架,2351,5285,6548,,,,,,,,
半導體設備,3131,3583,6187,8028,3680,,,,,,
探針卡,6515,6223,6510,6683,3217,,,,,,
伺服器BBU,3211,4931,6781,,,,,,,,
高速連接器,3533,2392,,,,,,,,,
伺服器線性滑軌,2059,6584
銅箔玻纖,8358,1815,,,,,,,,,
TGV成孔,1595,7730,4768,8027,6207
TGV填孔,7828,4760
TGV設備,3485,6664,4542
功率半導體-上游材料,3707,3016
功率半導體-IDM,2481,3675,5425,2342,6573
功率半導體-Fabless,6415,6719,7712,8261,6435,6138,5299
功率半導體-封測整合,2351,8255,5222,6525,5285,2441
